time,velocity,acceleration,height
0,50,-26.31,0
0.001,49.9737,-26.3013,0.05
0.002,49.9474,-26.2926,0.0999737
0.003,49.9211,-26.284,0.149921
0.004,49.8948,-26.2753,0.199842
0.005,49.8685,-26.2666,0.249737
0.006,49.8423,-26.2579,0.299606
0.007,49.816,-26.2493,0.349448
0.008,49.7898,-26.2406,0.399264
0.009,49.7635,-26.232,0.449054
0.01,49.7373,-26.2233,0.498817
0.011,49.7111,-26.2147,0.548554
0.012,49.6849,-26.206,0.598265
0.013,49.6586,-26.1974,0.64795
0.014,49.6324,-26.1887,0.697609
0.015,49.6063,-26.1801,0.747241
0.016,49.5801,-26.1714,0.796848
0.017,49.5539,-26.1628,0.846428
0.018,49.5277,-26.1542,0.895982
0.019,49.5016,-26.1455,0.945509
0.02,49.4754,-26.1369,0.995011
0.021,49.4493,-26.1283,1.04449
0.022,49.4232,-26.1196,1.09394
0.023,49.3971,-26.111,1.14336
0.024,49.371,-26.1024,1.19276
0.025,49.3448,-26.0938,1.24213
0.026,49.3188,-26.0852,1.29147
0.027,49.2927,-26.0766,1.34079
0.028,49.2666,-26.068,1.39008
0.029,49.2405,-26.0594,1.43935
0.03,49.2145,-26.0508,1.48859
0.031,49.1884,-26.0422,1.5378
0.032,49.1624,-26.0336,1.58699
0.033,49.1363,-26.025,1.63616
0.034,49.1103,-26.0164,1.68529
0.035,49.0843,-26.0078,1.7344
0.036,49.0583,-25.9992,1.78349
0.037,49.0323,-25.9907,1.83254
0.038,49.0063,-25.9821,1.88158
0.039,48.9803,-25.9735,1.93058
0.04,48.9543,-25.9649,1.97956
0.041,48.9284,-25.9564,2.02852
0.042,48.9024,-25.9478,2.07745
0.043,48.8765,-25.9392,2.12635
0.044,48.8505,-25.9307,2.17523
0.045,48.8246,-25.9221,2.22408
0.046,48.7987,-25.9136,2.2729
0.047,48.7728,-25.905,2.3217
0.048,48.7469,-25.8965,2.37047
0.049,48.721,-25.8879,2.41922
0.05,48.6951,-25.8794,2.46794
0.051,48.6692,-25.8708,2.51663
0.052,48.6433,-25.8623,2.5653
0.053,48.6175,-25.8538,2.61395
0.054,48.5916,-25.8452,2.66256
0.055,48.5658,-25.8367,2.71116
0.056,48.5399,-25.8282,2.75972
0.057,48.5141,-25.8197,2.80826
0.058,48.4883,-25.8111,2.85678
0.059,48.4625,-25.8026,2.90526
0.06,48.4367,-25.7941,2.95373
0.061,48.4109,-25.7856,3.00216
0.062,48.3851,-25.7771,3.05057
0.063,48.3593,-25.7686,3.09896
0.064,48.3335,-25.7601,3.14732
0.065,48.3078,-25.7516,3.19565
0.066,48.282,-25.7431,3.24396
0.067,48.2563,-25.7346,3.29224
0.068,48.2306,-25.7261,3.3405
0.069,48.2048,-25.7176,3.38873
0.07,48.1791,-25.7091,3.43693
0.071,48.1534,-25.7006,3.48511
0.072,48.1277,-25.6921,3.53327
0.073,48.102,-25.6837,3.58139
0.074,48.0763,-25.6752,3.6295
0.075,48.0507,-25.6667,3.67757
