time,velocity,acceleration,height
0,50,-9.81,0
0.001,49.9902,-9.81,0.05
0.002,49.9804,-9.81,0.0999902
0.003,49.9706,-9.81,0.149971
0.004,49.9608,-9.81,0.199941
0.005,49.9509,-9.81,0.249902
0.006,49.9411,-9.81,0.299853
0.007,49.9313,-9.81,0.349794
0.008,49.9215,-9.81,0.399725
0.009,49.9117,-9.81,0.449647
0.01,49.9019,-9.81,0.499559
0.011,49.8921,-9.81,0.54946
0.012,49.8823,-9.81,0.599353
0.013,49.8725,-9.81,0.649235
0.014,49.8627,-9.81,0.699107
0.015,49.8528,-9.81,0.74897
0.016,49.843,-9.81,0.798823
0.017,49.8332,-9.81,0.848666
0.018,49.8234,-9.81,0.898499
0.019,49.8136,-9.81,0.948322
0.02,49.8038,-9.81,0.998136
0.021,49.794,-9.81,1.04794
0.022,49.7842,-9.81,1.09773
0.023,49.7744,-9.81,1.14752
0.024,49.7646,-9.81,1.19729
0.025,49.7547,-9.81,1.24706
0.026,49.7449,-9.81,1.29681
0.027,49.7351,-9.81,1.34656
0.028,49.7253,-9.81,1.39629
0.029,49.7155,-9.81,1.44602
0.03,49.7057,-9.81,1.49573
0.031,49.6959,-9.81,1.54544
0.032,49.6861,-9.81,1.59513
0.033,49.6763,-9.81,1.64482
0.034,49.6665,-9.81,1.6945
0.035,49.6566,-9.81,1.74416
0.036,49.6468,-9.81,1.79382
0.037,49.637,-9.81,1.84347
0.038,49.6272,-9.81,1.8931
0.039,49.6174,-9.81,1.94273
0.04,49.6076,-9.81,1.99235
0.041,49.5978,-9.81,2.04196
0.042,49.588,-9.81,2.09155
0.043,49.5782,-9.81,2.14114
0.044,49.5684,-9.81,2.19072
0.045,49.5585,-9.81,2.24029
0.046,49.5487,-9.81,2.28985
0.047,49.5389,-9.81,2.3394
0.048,49.5291,-9.81,2.38893
0.049,49.5193,-9.81,2.43846
0.05,49.5095,-9.81,2.48798
0.051,49.4997,-9.81,2.53749
0.052,49.4899,-9.81,2.58699
0.053,49.4801,-9.81,2.63648
0.054,49.4703,-9.81,2.68596
0.055,49.4604,-9.81,2.73543
0.056,49.4506,-9.81,2.78489
0.057,49.4408,-9.81,2.83434
0.058,49.431,-9.81,2.88378
0.059,49.4212,-9.81,2.93322
0.06,49.4114,-9.81,2.98264
0.061,49.4016,-9.81,3.03205
0.062,49.3918,-9.81,3.08145
0.063,49.382,-9.81,3.13084
0.064,49.3722,-9.81,3.18022
0.065,49.3623,-9.81,3.2296
0.066,49.3525,-9.81,3.27896
0.067,49.3427,-9.81,3.32831
0.068,49.3329,-9.81,3.37765
0.069,49.3231,-9.81,3.42699
0.07,49.3133,-9.81,3.47631
0.071,49.3035,-9.81,3.52562
0.072,49.2937,-9.81,3.57493
0.073,49.2839,-9.81,3.62422
0.074,49.2741,-9.81,3.6735
0.075,49.2642,-9.81,3.72278
0.076,49.2544,-9.81,3.77204
0.077,49.2446,-9.81,3.8213
0.078,49.2348,-9.81,3.87054
0.079,49.225,-9.81,3.91978
0.08,49.2152,-9.81,3.969
0.081,49.2054,-9.81,4.01822
0.082,49.1956,-9.81,4.06742
0.083,49.1858,-9.81,4.11662
0.084,49.176,-9.81,4.1658
0.085,49.1661,-9.81,4.21498
0.086,49.1563,-9.81,4.26414
0.087,49.1465,-9.81,4.3133
0.088,49.1367,-9.81,4.36245
0.089,49.1269,-9.81,4.41158
0.09,49.1171,-9.81,4.46071
0.091,49.1073,-9.81,4.50983
0.092,49.0975,-9.81,4.55894
0.093,49.0877,-9.81,4.60803
0.094,49.0779,-9.81,4.65712
0.095,49.068,-9.81,4.7062
0.096,49.0582,-9.81,4.75527
0.097,49.0484,-9.81,4.80432
0.098,49.0386,-9.81,4.85337
0.099,49.0288,-9.81,4.90241
0.1,49.019,-9.81,4.95144
0.101,49.0092,-9.81,5.00046
0.102,48.9994,-9.81,5.04947
0.103,48.9896,-9.81,5.09847
0.104,48.9798,-9.81,5.14746
0.105,48.9699,-9.81,5.19644
