time,velocity,acceleration,height
0,50,-37.31,0
0.001,49.9627,-37.269,0.05
0.002,49.9254,-37.228,0.0999627
0.003,49.8882,-37.1871,0.149888
0.004,49.851,-37.1464,0.199776
0.005,49.8139,-37.1056,0.249627
0.006,49.7768,-37.065,0.299441
0.007,49.7397,-37.0244,0.349218
0.008,49.7027,-36.9839,0.398958
0.009,49.6657,-36.9435,0.44866
0.01,49.6287,-36.9031,0.498326
0.011,49.5918,-36.8628,0.547955
0.012,49.555,-36.8226,0.597547
0.013,49.5181,-36.7825,0.647101
0.014,49.4814,-36.7425,0.69662
0.015,49.4446,-36.7025,0.746101
0.016,49.4079,-36.6626,0.795546
0.017,49.3713,-36.6227,0.844954
0.018,49.3346,-36.583,0.894325
0.019,49.2981,-36.5433,0.943659
0.02,49.2615,-36.5037,0.992958
0.021,49.225,-36.4641,1.04222
0.022,49.1885,-36.4246,1.09144
0.023,49.1521,-36.3852,1.14063
0.024,49.1157,-36.3459,1.18978
0.025,49.0794,-36.3066,1.2389
0.026,49.0431,-36.2675,1.28798
0.027,49.0068,-36.2283,1.33702
0.028,48.9706,-36.1893,1.38603
0.029,48.9344,-36.1503,1.435
0.03,48.8982,-36.1114,1.48393
0.031,48.8621,-36.0726,1.53283
0.032,48.8261,-36.0338,1.5817
0.033,48.79,-35.9951,1.63052
0.034,48.754,-35.9565,1.67931
0.035,48.7181,-35.918,1.72807
0.036,48.6822,-35.8795,1.77678
0.037,48.6463,-35.8411,1.82547
0.038,48.6104,-35.8027,1.87411
0.039,48.5746,-35.7644,1.92272
0.04,48.5389,-35.7262,1.9713
0.041,48.5031,-35.6881,2.01984
0.042,48.4675,-35.65,2.06834
0.043,48.4318,-35.612,2.11681
0.044,48.3962,-35.5741,2.16524
0.045,48.3606,-35.5362,2.21363
0.046,48.3251,-35.4984,2.26199
0.047,48.2896,-35.4607,2.31032
0.048,48.2541,-35.4231,2.35861
0.049,48.2187,-35.3855,2.40686
0.05,48.1833,-35.3479,2.45508
0.051,48.148,-35.3105,2.50327
0.052,48.1127,-35.2731,2.55141
0.053,48.0774,-35.2358,2.59953
0.054,48.0421,-35.1985,2.6476
0.055,48.0069,-35.1613,2.69565
0.056,47.9718,-35.1242,2.74365
0.057,47.9367,-35.0872,2.79162
0.058,47.9016,-35.0502,2.83956
0.059,47.8665,-35.0132,2.88746
0.06,47.8315,-34.9764,2.93533
0.061,47.7965,-34.9396,2.98316
0.062,47.7616,-34.9029,3.03096
0.063,47.7267,-34.8662,3.07872
